Month,Year,Team A,Team B,Ground,Won,Team A Won,Trim Team A,Trim Team B
October,2016,India ,New Zealand,Himachal Pradesh Cricket Association Stadium,India ,1,India,New Zealand
October,2016,India ,New Zealand,JSCA International Stadium Complex,New Zealand ,0,India,New Zealand
June,2016,England ,Sri Lanka,Kennington Oval,England ,1,England,Sri Lanka
June,2016,West Indies ,Australia,Kensington Oval,Australia ,0,West Indies,Australia
June,2016,West Indies ,Australia,Kensington Oval,Australia ,0,West Indies,Australia
June,2016,West Indies ,South Africa,Kensington Oval,West Indies ,1,West Indies,South Africa
October,2016,South Africa ,Australia,Kingsmead,South Africa ,1,South Africa,Australia
August,2016,England ,Pakistan,Lord's,England ,1,England,Pakistan
February,2016,South Africa ,England,Mangaung Oval,England ,0,South Africa,England
January,2016,Australia ,India,Manuka Oval,Australia ,1,Australia,India
December,2016,Australia ,New Zealand,Manuka Oval,Australia ,1,Australia,New Zealand
January,2016,Australia ,India,Melbourne Cricket Ground,Australia ,1,Australia,India
December,2016,Australia ,New Zealand,Melbourne Cricket Ground,Australia ,1,Australia,New Zealand
February,2016,South Africa ,England,Newlands,South Africa ,1,South Africa,England
October,2016,South Africa ,Australia,Newlands,South Africa ,1,South Africa,Australia
September,2016,Sri Lanka ,Australia,Pallekele International Cricket Stadium,Australia ,0,Sri Lanka,Australia
June,2016,West Indies ,Australia,Providence Stadium,Australia ,0,West Indies,Australia
June,2016,Australia ,South Africa,Providence Stadium,South Africa ,0,Australia,South Africa
June,2016,West Indies ,South Africa,Providence Stadium,West Indies ,1,West Indies,South Africa
October,2016,India ,New Zealand,Punjab Cricket Association IS Bindra Stadium,India ,1,India,New Zealand
November,2016,Sri Lanka ,West Indies,Queens Sports Club,Sri Lanka ,1,Sri Lanka,West Indies
August,2016,Sri Lanka ,Australia,R Premadasa Stadium,Australia ,0,Sri Lanka,Australia
August,2016,Sri Lanka ,Australia,R Premadasa Stadium,Sri Lanka ,1,Sri Lanka,Australia
August,2016,Sri Lanka ,Australia,Rangiri Dambulla International Stadium,Australia ,0,Sri Lanka,Australia
August,2016,Sri Lanka ,Australia,Rangiri Dambulla International Stadium,Australia ,0,Sri Lanka,Australia
December,2016,New Zealand ,Bangladesh,Saxton Oval,New Zealand ,1,New Zealand,Bangladesh
December,2016,New Zealand ,Bangladesh,Saxton Oval,New Zealand ,1,New Zealand,Bangladesh
February,2016,New Zealand ,Australia,Seddon Park,New Zealand ,1,New Zealand,Australia
September,2016,Pakistan ,West Indies,Sharjah Cricket Stadium,Pakistan ,1,Pakistan,West Indies
October,2016,Pakistan ,West Indies,Sharjah Cricket Stadium,Pakistan ,1,Pakistan,West Indies
October,2016,Pakistan ,West Indies,Sheikh Zayed Stadium,Pakistan ,1,Pakistan,West Indies
October,2016,Bangladesh ,England,Shere Bangla National Stadium,Bangladesh ,1,Bangladesh,England
October,2016,Bangladesh ,England,Shere Bangla National Stadium,England ,0,Bangladesh,England
September,2016,England ,Pakistan,Sophia Gardens,Pakistan ,0,England,Pakistan
July,2016,England ,Sri Lanka,Sophia Gardens,England ,1,England,Sri Lanka
October,2016,South Africa ,Australia,St George's Park,South Africa ,1,South Africa,Australia
February,2016,South Africa ,England,St George's Park,England ,0,South Africa,England
February,2016,South Africa ,England,SuperSport Park,South Africa ,1,South Africa,England
September,2016,South Africa ,Australia,SuperSport Park,South Africa ,1,South Africa,Australia
December,2016,Australia ,New Zealand,Sydney Cricket Ground,Australia ,1,Australia,New Zealand
January,2016,Australia ,India,Sydney Cricket Ground,India ,0,Australia,India
August,2016,England ,Pakistan,The Rose Bowl,England ,1,England,Pakistan
August,2016,England ,Pakistan,Trent Bridge,England ,1,England,Pakistan
January,2016,Australia ,India,WACA Ground,Australia ,1,Australia,India
February,2016,South Africa ,England,Wanderers Stadium,South Africa ,1,South Africa,England
October,2016,South Africa ,Australia,Wanderers Stadium,South Africa ,1,South Africa,Australia
June,2016,Australia ,South Africa,Warner Park,Australia ,1,Australia,South Africa
June,2016,West Indies ,South Africa,Warner Park,South Africa ,0,West Indies,South Africa
June,2016,West Indies ,Australia,Warner Park,West Indies ,1,West Indies,Australia
February,2016,New Zealand ,Australia,Westpac Stadium,Australia ,0,New Zealand,Australia
October,2016,Bangladesh ,England,Zahur Ahmed Chowdhury Stadium,England ,0,Bangladesh,England
January,2017,Australia ,Pakistan,Adelaide Oval,Australia ,1,Australia,Pakistan
January,2017,India ,England,Barabati Stadium,India ,1,India,England
October,2017,South Africa ,Bangladesh,Boland Park,South Africa ,1,South Africa,Bangladesh
January,2017,Australia ,Pakistan,Brisbane Cricket Ground,Australia ,1,Australia,Pakistan
October,2017,South Africa ,Bangladesh,Buffalo Park,South Africa ,1,South Africa,Bangladesh
May,2017,Bangladesh ,New Zealand,Castle Avenue,Bangladesh ,1,Bangladesh,New Zealand
May,2017,Bangladesh ,New Zealand,Castle Avenue,New Zealand ,0,Bangladesh,New Zealand
December,2017,New Zealand ,West Indies,Cobham Oval ,New Zealand ,1,New Zealand,West Indies
September,2017,England ,West Indies,County Ground ,England ,1,England,West Indies
October,2017,South Africa ,Bangladesh,Diamond Oval,South Africa ,1,South Africa,Bangladesh
December,2017,India ,Sri Lanka,Dr YS Rajasekhara Reddy Cricket Stadium,India ,1,India,Sri Lanka
October,2017,Pakistan ,Sri Lanka,Dubai International Cricket Stadium,Pakistan ,1,Pakistan,Sri Lanka
September,2017,India ,Australia,Eden Gardens,India ,1,India,Australia
January,2017,India ,England,Eden Gardens,England ,0,India,England
January,2017,New Zealand ,Australia,Eden Park,New Zealand ,1,New Zealand,Australia
March,2017,New Zealand ,South Africa,Eden Park,South Africa ,0,New Zealand,South Africa
June,2017,India ,Pakistan,Edgbaston,India ,1,India,Pakistan
June,2017,Bangladesh ,India,Edgbaston,India ,0,Bangladesh,India
June,2017,Pakistan ,South Africa,Edgbaston,Pakistan ,1,Pakistan,South Africa
June,2017,England ,Australia,Edgbaston,England ,1,England,Australia
October,2017,India ,New Zealand,Green Park,India ,1,India,New Zealand
February,2017,New Zealand ,South Africa,Hagley Oval,New Zealand ,1,New Zealand,South Africa
December,2017,New Zealand ,West Indies,Hagley Oval,New Zealand ,1,New Zealand,West Indies
December,2017,New Zealand ,West Indies,Hagley Oval,New Zealand ,1,New Zealand,West Indies
